Designator,Center-X(mm),Center-Y(mm),Layer,Rotation
J10,49.54,10.658,TopLayer,90
J9,34.55,4.006,TopLayer,90
J1,16.456,33.825,TopLayer,0
J7,35.306,31.623,TopLayer,180
U5,51,37,TopLayer,225
J8,6.6548,64.9732,TopLayer,0
J6,33.2486,74.9808,TopLayer,90
Y2,55.5246,44.0348,TopLayer,315
U1,59.41,6.708,TopLayer,180
U6,34.236,9.314,TopLayer,90
J3,36.5982,63.6446,TopLayer,0
R14,86.687,8.75,TopLayer,270
R13,84.909,8.75,TopLayer,270
R12,83.131,8.67,TopLayer,270
D7,86.687,5.573,TopLayer,90
D6,84.909,5.573,TopLayer,90
D5,83.131,5.573,TopLayer,90
C9,70.471,19.742,TopLayer,360
C7,78.432,11.941,TopLayer,270
C6,79.956,11.941,TopLayer,270
C23,50.492,16.259,TopLayer,90
Y1,58.1343,40.7877,TopLayer,315
XBT1,76.581,56.4168,TopLayer,270
U4,45.4404,63.4238,TopLayer,270
U3,51.4858,64.6484,TopLayer,270
U2,77.189,19.728,TopLayer,270
SB1,71.876,27.699,TopLayer,180
R11,36.409,13.1064,TopLayer,360
R10,40.4622,33.8696,TopLayer,90
R9,40.4622,31.2782,TopLayer,90
R8,7.366,2.119,TopLayer,90
R7,7.366,4.739,TopLayer,270
R6,52.3333,61.2208,TopLayer,270
R5,50.715,61.2208,TopLayer,270
R4,77.1512,28.0437,TopLayer,360
R3,59.1735,38.6711,TopLayer,225
R2,55.577,6.134,TopLayer,180
R1,55.577,7.658,TopLayer,180
L1,70.84,8.552,TopLayer,90
J2,20.012,5.758,TopLayer,180
D3,4.902,2.794,TopLayer,360
D2,4.902,4.064,TopLayer,360
D1,60.3657,37.7297,TopLayer,45
C22,77.1252,29.591,TopLayer,180
C21,57.5733,45.4127,TopLayer,315
C20,53.3074,46.1133,TopLayer,225
C19,43.5303,38.6947,TopLayer,315
C18,53.1061,29.7233,TopLayer,135
C17,57.3807,33.6181,TopLayer,45
C16,58.3967,32.5574,TopLayer,45
C15,49.7607,44.9456,TopLayer,315
C14,48.4907,43.8273,TopLayer,315
C13,60.2342,41.8268,TopLayer,225
C12,59.2243,42.8875,TopLayer,225
C11,46.1118,67.2084,TopLayer,180
C10,51.6636,67.6294,TopLayer,270
C8,70.471,17.428,TopLayer,360
C5,61.435,9.314,TopLayer,180
C4,61.435,10.838,TopLayer,0
C3,58.735,3.98,TopLayer,360
C2,25.6686,8.2804,TopLayer,360
C1,13.502,50.3174,TopLayer,180
